Time [s],Channel 0
247.951256800,0
248.316061440,1
248.545334560,0
248.749987680,1
248.779265280,0
249.040713120,1
249.075500640,0
249.229613440,1
249.265654400,0
249.304930880,1
249.441201920,0
249.446785120,1
249.475324800,0
249.510435360,1
249.517956800,0
249.526893600,1
249.581398560,0
249.980778560,1
250.037023680,0
250.073369920,1
250.078215360,0
250.146119040,1
250.156437760,0
250.317904800,1
250.445874080,0
250.673350400,1
250.678977760,0
251.247576800,1
251.254607360,0
251.311557280,1
251.659391200,0
251.807771040,1
251.838404960,0
251.872606720,1
251.901195520,0
252.308567200,1
252.389912160,0
252.410789440,1
252.480784640,0
252.489786880,1
252.581276000,0
253.249628800,1
253.261185280,0
253.323876480,1
253.349279840,0
253.362292480,1
253.388002560,0
253.410413920,1
253.441949920,0
253.456033600,1
253.479022560,0
253.510565600,1
253.581822720,0
254.315978240,1
254.443821760,0
255.295761920,1
255.301115520,0
255.309834560,1
255.468575520,0
256.340435840,1
256.446734080,0
257.318624160,1
257.543904480,0
258.324846720,1
258.547895840,0
259.325993120,1
259.537383680,0
260.322536960,1
260.544130080,0
261.323957440,1
261.429013280,0
262.327993120,1
262.527943040,0
263.323030240,1
263.452436000,0
264.323182560,1
264.533782080,0
265.323873760,1
265.442372480,0
266.326285760,1
266.527771040,0
267.319501440,1
267.442743520,0
268.324601920,1
268.530638560,0
269.322368000,1
269.446039200,0
270.320069600,1
270.530177440,0
271.312625120,1
271.538982240,0
272.316965280,1
272.536989600,0
272.547086560,1
272.557154240,0
273.307298720,1
273.421088800,0
273.828079360,1
273.850514400,0
274.291789280,1
274.465686560,0
275.321828960,1
275.446723520,0
275.465807680,1
275.538232000,0
275.873693120,1
275.885500800,0
276.312461120,1
276.443774080,0
278.500578560,1
278.567304320,0
278.917555360,1
278.926692800,0
278.974040000,1
278.981815520,0
279.316147680,1
279.645347680,0
280.052735360,1
280.064811680,0
280.312183520,1
280.669408800,0
280.695027520,1
280.709483040,0
280.999431680,1
281.063202240,0
281.318245280,1
281.496985760,0
281.505663520,1
281.551349280,0
281.582693120,1
281.600213760,0
281.607280640,1
281.616741760,0
281.742768960,1
281.759719040,0
281.843701440,1
281.923436480,0
282.032478080,1
282.047589440,0
282.098714720,1
282.104563040,0
282.525509760,1
282.578033760,0
282.609774720,1
282.641237440,0
283.336394560,1
283.437255520,0
284.355488480,1
284.405244640,0
284.430927520,1
284.560466880,0
284.566876000,1
284.613580800,0
285.360977440,1
285.415052320,0
286.346540000,1
286.428216320,0
287.347950560,1
287.414756160,0
288.337761760,1
288.439393600,0
288.723909920,1
288.761012160,0
288.772955200,1
288.800362400,0
289.030355040,1
289.043982560,0
289.092606560,1
289.117924000,0
289.309826240,1
289.504759520,0
290.308254240,1
290.438587520,0
290.991695680,1
290.998605600,0
291.336736800,1
291.430786720,0
292.330325440,1
292.457842720,0
293.321800000,1
293.444710720,0
294.334196000,1
