Time [s],Channel 0
518.907544160,0
519.744696160,1
519.890384160,0
520.750675040,1
520.866633600,0
521.745574400,1
521.887015680,0
522.742052320,1
522.889428480,0
523.751809440,1
523.867362080,0
524.749469280,1
524.894335360,0
525.741561440,1
525.974639680,0
526.755267200,1
526.869255200,0
527.747572640,1
527.899120640,0
528.750636320,1
528.902385760,0
529.754320000,1
529.968008160,0
530.746125280,1
530.963647360,0
531.751623360,1
531.899204960,0
532.756468320,1
532.878380000,0
533.751460800,1
533.978300480,0
534.751886720,1
534.875182720,0
535.746899520,1
535.879212960,0
536.751624320,1
536.899896640,0
537.749652320,1
537.880494720,0
538.744852640,1
538.870384640,0
539.759397920,1
539.965988800,0
540.750397280,1
540.987231680,0
541.753862560,1
541.961529600,0
542.756438400,1
542.970899680,0
543.744543360,1
543.861450400,0
544.758900640,1
544.975406400,0
545.748960320,1
545.867812960,0
546.746312800,1
546.968254720,0
547.750521920,1
547.876054880,0
548.752123520,1
548.871701760,0
549.746904960,1
549.959980000,0
550.750723040,1
550.960360960,0
551.751093280,1
551.863369600,0
552.745549280,1
552.992340480,0
553.753026720,1
553.978230240,0
554.746183360,1
554.869906880,0
555.750840640,1
555.890546720,0
556.749127680,1
556.882875520,0
557.744061920,1
557.870136000,0
558.743194240,1
558.869699840,0
559.749152000,1
559.989693920,0
560.742857760,1
560.962671360,0
561.747370880,1
562.089364960,0
562.751666400,1
563.065147360,0
563.751428160,1
563.977095040,0
564.750702720,1
565.074852480,0
565.753863360,1
565.875344480,0
566.754083040,1
567.268919520,0
567.744090560,1
567.851734080,0
568.751040000,1
568.878630720,0
569.744941760,1
569.878510880,0
570.745097760,1
570.878960640,0
571.063856800,1
571.072849760,0
571.750834880,1
571.859977120,0
572.746400480,1
572.871231360,0
573.754699040,1
573.899205920,0
573.912159040,1
573.923345440,0
574.747816480,1
574.867620320,0
575.749944640,1
575.859183840,0
576.739600160,1
576.898751840,0
577.751328000,1
577.869396160,0
577.910788000,1
577.922712640,0
578.748200960,1
578.862195840,0
579.741870080,1
579.891979520,0
580.465746880,1
580.486067200,0
580.745358080,1
580.895383040,0
581.742157120,1
581.866418720,0
582.561372800,1
582.608701760,0
582.749389280,1
582.854404160,0
583.749227200,1
583.886321760,0
583.909215200,1
583.922994560,0
584.740568320,1
584.878784160,0
585.756426080,1
585.980278880,0
586.746809280,1
586.871657280,0
587.741943680,1
587.878005760,0
588.744032800,1
588.872101760,0
589.733150720,1
590.023970080,0
590.750804960,1
590.968772640,0
591.751885440,1
591.871370240,0
592.745921120,1
592.887513120,0
593.750866720,1
593.961025760,0
594.747162080,1
594.864434720,0
595.752369120,1
595.861812800,0
596.749148800,1
596.867018720,0
597.743200000,1
597.869911200,0
598.746256800,1
598.891408320,0
599.751330080,1
599.967506720,0
600.754991840,1
600.986094720,0
601.034617440,1
601.065842880,0
601.744973280,1
601.967366080,0
602.750030720,1
602.966642880,0
603.750898400,1
603.881501120,0
